Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D415,WS2812C-2020,BF@WS2812C-2020,86.79731,53.867553,96,top
D416,WS2812C-2020,BF@WS2812C-2020,87,50,90,top
D417,WS2812C-2020,BF@WS2812C-2020,86.79731,46.132447,84,top
D418,WS2812C-2020,BF@WS2812C-2020,86.191461,42.307268,78,top
D419,WS2812C-2020,BF@WS2812C-2020,85.189091,38.566372,72,top
D420,WS2812C-2020,BF@WS2812C-2020,83.801181,34.950745,66,top
D421,WS2812C-2020,BF@WS2812C-2020,82.042939,31.500001,60,top
D422,WS2812C-2020,BF@WS2812C-2020,79.933628,28.251946,54,top
D423,WS2812C-2020,BF@WS2812C-2020,77.496358,25.242168,48,top
D424,WS2812C-2020,BF@WS2812C-2020,74.757832,22.503642,42,top
D425,WS2812C-2020,BF@WS2812C-2020,71.748054,20.066372,36,top
D426,WS2812C-2020,BF@WS2812C-2020,68.499999,17.957061,30,top
D427,WS2812C-2020,BF@WS2812C-2020,65.049255,16.198819,24,top
D428,WS2812C-2020,BF@WS2812C-2020,61.433628,14.810909,18,top
D429,WS2812C-2020,BF@WS2812C-2020,57.692732,13.808539,12,top
D430,WS2812C-2020,BF@WS2812C-2020,53.867553,13.20269,6,top
D431,WS2812C-2020,BF@WS2812C-2020,50,13,0,top
D432,WS2812C-2020,BF@WS2812C-2020,46.132447,13.20269,354,top
D433,WS2812C-2020,BF@WS2812C-2020,42.307268,13.808539,348,top
D434,WS2812C-2020,BF@WS2812C-2020,38.566372,14.810909,342,top
